"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","851","Sort by name Z → A","","Tue Sep 09 03:05:34 UTC 2025","passed","Tue Sep 09 03:05:35 UTC 2025","","Sort Products Test","",""
"","339","Update user successfully","","Tue Sep 09 03:05:44 UTC 2025","passed","Tue Sep 09 03:05:45 UTC 2025","","API Testing - Users","",""
"","841","Sort by name A → Z","","Tue Sep 09 03:05:33 UTC 2025","passed","Tue Sep 09 03:05:34 UTC 2025","","Sort Products Test","",""
"","1500","Checkout with missing postal code","","Tue Sep 09 03:05:24 UTC 2025","passed","Tue Sep 09 03:05:26 UTC 2025","","Verify function on Checkout Page","",""
"","1545","Checkout with missing first name","","Tue Sep 09 03:05:21 UTC 2025","passed","Tue Sep 09 03:05:23 UTC 2025","","Verify function on Checkout Page","",""
"","1257","Cancel checkout successfully on the one-step checkout page","","Tue Sep 09 03:05:18 UTC 2025","passed","Tue Sep 09 03:05:19 UTC 2025","","Verify function on Checkout Page","",""
"","945","Back to products from Inventory item successfully","","Tue Sep 09 03:05:32 UTC 2025","passed","Tue Sep 09 03:05:33 UTC 2025","","Verify function on Inventory item Page","",""
"","848","Sort by price High → Low","","Tue Sep 09 03:05:36 UTC 2025","passed","Tue Sep 09 03:05:37 UTC 2025","","Sort Products Test","",""
"","208","Create a new user successfully","","Tue Sep 09 03:05:44 UTC 2025","passed","Tue Sep 09 03:05:44 UTC 2025","","API Testing - Users","",""
"","707","Login with account locked","","Tue Sep 09 03:05:41 UTC 2025","passed","Tue Sep 09 03:05:42 UTC 2025","","Login Test","",""
"","995","Should remove product to cart from Inventory item successfully","","Tue Sep 09 03:05:31 UTC 2025","passed","Tue Sep 09 03:05:32 UTC 2025","","Verify function on Inventory item Page","",""
"","182","Delete user successfully","","Tue Sep 09 03:05:45 UTC 2025","passed","Tue Sep 09 03:05:45 UTC 2025","","API Testing - Users","",""
"","1522","Checkout with missing last name","","Tue Sep 09 03:05:23 UTC 2025","passed","Tue Sep 09 03:05:24 UTC 2025","","Verify function on Checkout Page","",""
"","846","Sort by price Low → High","","Tue Sep 09 03:05:35 UTC 2025","passed","Tue Sep 09 03:05:36 UTC 2025","","Sort Products Test","",""
"","1034","Check product information on Cart","","Tue Sep 09 03:05:11 UTC 2025","passed","Tue Sep 09 03:05:12 UTC 2025","","Verify function on Cart Page","",""
"","1159","Continue shopping from Cart","","Tue Sep 09 03:05:10 UTC 2025","passed","Tue Sep 09 03:05:11 UTC 2025","","Verify function on Cart Page","",""
"","2106","Should checkout successfully","","Tue Sep 09 03:05:16 UTC 2025","passed","Tue Sep 09 03:05:18 UTC 2025","","Verify function on Checkout Page","",""
"","137","Get list of users successfully","","Tue Sep 09 03:05:44 UTC 2025","passed","Tue Sep 09 03:05:44 UTC 2025","","API Testing - Users","",""
"","770","Login with wrong password","","Tue Sep 09 03:05:40 UTC 2025","passed","Tue Sep 09 03:05:40 UTC 2025","","Login Test","",""
"","936","Should login successfully","","Tue Sep 09 03:05:39 UTC 2025","passed","Tue Sep 09 03:05:40 UTC 2025","","Login Test","",""
"","417","Login with empty password","","Tue Sep 09 03:05:41 UTC 2025","passed","Tue Sep 09 03:05:41 UTC 2025","","Login Test","",""
"","1064","Remove product information on Cart","","Tue Sep 09 03:05:12 UTC 2025","passed","Tue Sep 09 03:05:13 UTC 2025","","Verify function on Cart Page","",""
"","146","Login with empty account","","Tue Sep 09 03:05:40 UTC 2025","passed","Tue Sep 09 03:05:41 UTC 2025","","Login Test","",""
"","958","Should add product to cart successfully","","Tue Sep 09 03:05:28 UTC 2025","passed","Tue Sep 09 03:05:29 UTC 2025","","Verify function on Inventory Page","",""
"","1048","Should view information product successfully","","Tue Sep 09 03:05:27 UTC 2025","passed","Tue Sep 09 03:05:28 UTC 2025","","Verify function on Inventory Page","",""
"","920","Should add product to cart from Inventory item successfully","","Tue Sep 09 03:05:30 UTC 2025","passed","Tue Sep 09 03:05:31 UTC 2025","","Verify function on Inventory item Page","",""
"","1746","Go to Cart page","","Tue Sep 09 03:05:08 UTC 2025","passed","Tue Sep 09 03:05:09 UTC 2025","","Verify function on Cart Page","",""
"","1825","Cancel checkout successfully on the two-step checkout page","","Tue Sep 09 03:05:19 UTC 2025","passed","Tue Sep 09 03:05:21 UTC 2025","","Verify function on Checkout Page","",""
"","1061","Go to Checkout","","Tue Sep 09 03:05:13 UTC 2025","passed","Tue Sep 09 03:05:14 UTC 2025","","Verify function on Cart Page","",""
"","902","Should remove product to cart successfully","","Tue Sep 09 03:05:29 UTC 2025","passed","Tue Sep 09 03:05:30 UTC 2025","","Verify function on Inventory Page","",""
